,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
23,100.0,100.0,438098,0,0,-2,2,0,3,0.5,1.0,0,Fábio,0.0,25,False,,2022-08-04T15:00:05.309562Z,58,438098.jpg,0.0,Ferreira Vieira,0.1,False,,a,1,3,0,1003,293,10193,906,0.0,0.0,Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,594,259,595,259,593,258,595,259,,,,,,
24,,,462424,1,-1,2,-2,1,2,7.5,8.0,7,William,7.0,26,True,,,47,462424.jpg,7.0,Saliba,16.6,False,,a,1,3,28,1317278,500172,205048,37444,1.5,6.0,Saliba,360,1,1,2,3,1,0,0,0,0,0,6,106,109.8,13.1,19.0,14.1,29,5,211,65,187,50,110,27,,,,,,
25,,,479683,0,0,-2,2,0,3,0.5,1.0,0,Marcus,0.0,27,False,,,48,479683.jpg,0.0,Oliveira Alencar,0.1,False,,a,1,3,0,2543,334,7369,909,0.0,0.0,Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,549,227,541,228,522,213,552,229,,,,,,
26,,,205651,0,0,2,-2,1,4,7.0,7.5,1,Gabriel,6.5,28,False,,,82,205651.jpg,6.5,Fernando de Jesus,81.1,False,,a,1,3,26,1349726,93176,590349,159079,0.8,3.2,Jesus,343,2,3,2,3,0,0,0,2,0,0,3,87,139.8,87.6,276.0,50.4,12,5,40,4,1,1,3,3,,,,,,
27,75.0,,206325,-1,1,2,-2,1,2,4.0,5.8,0,Oleksandr,4.8,313,False,Knee injury - 75% chance of playing,2022-08-27T20:00:06.706968Z,52,206325.jpg,6.3,Zinchenko,22.6,False,,d,1,3,19,1464096,25861,1145508,781099,0.9,3.7,Zinchenko,248,0,1,2,2,0,0,0,0,0,0,3,80,61.0,43.7,33.0,13.7,124,47,109,26,143,36,119,31,,,,,,
28,75.0,100.0,84583,0,0,-2,2,0,3,0.8,1.5,3,Philippe,1.5,29,False,Fatigue - 75% chance of playing,2022-08-30T12:30:06.485567Z,68,84583.jpg,1.5,Coutinho Correia,5.1,False,,d,2,7,6,82048,8236,1111255,63064,0.2,0.9,Coutinho,222,0,0,1,2,0,0,0,1,0,0,0,27,24.2,54.4,68.0,14.7,240,99,80,58,67,44,100,60,4.0,,1.0,,2.0,
29,,,84939,0,0,-1,1,0,4,2.0,2.5,2,Danny,2.5,30,False,,,69,84939.jpg,2.5,Ings,1.6,False,,a,2,7,10,72679,3860,147236,31120,0.4,1.4,Ings,243,1,0,1,3,0,0,0,2,0,0,1,26,33.8,24.3,103.0,16.0,213,17,164,22,39,10,86,13,,,,,1.0,
30,,,98980,0,0,0,0,1,1,3.5,4.0,2,Emiliano,4.0,31,False,,,50,98980.jpg,4.0,Martínez Romero,4.9,False,,a,2,7,16,90679,8476,203693,54376,0.8,3.2,Martínez,360,0,0,0,7,0,1,0,0,0,12,2,75,124.4,0.0,0.0,12.5,20,5,565,55,554,55,139,5,,,,,,
31,,,101184,0,0,-1,1,0,2,0.3,0.8,2,Calum,0.8,32,False,,,44,101184.jpg,1.5,Chambers,0.2,False,,a,2,7,3,3816,434,12033,1550,0.2,0.7,Chambers,91,0,0,0,1,0,0,0,0,0,0,0,20,30.0,0.6,0.0,3.1,220,92,313,115,379,156,285,103,,,,,,
32,,,101188,0,0,-2,2,0,2,0.3,0.8,2,Lucas,0.8,33,False,,,48,101188.jpg,0.8,Digne,2.3,False,,a,2,7,3,53114,3370,227219,32514,0.2,0.6,Digne,360,0,0,0,7,1,0,0,1,0,0,0,40,57.4,111.3,38.0,20.7,136,55,17,4,119,27,62,10,2.0,,4.0,,,
33,0.0,0.0,110504,0,0,-1,1,0,3,0.0,0.0,0,Bertrand,0.0,34,False,Joined Istanbul Basaksehir FK on loan - Expected back 01 Jul,2022-08-22T19:30:06.057056Z,49,110504.jpg,0.0,Traoré,0.1,False,,u,2,7,0,3136,0,15340,2191,0.0,0.0,Traoré,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,556,234,549,235,533,222,559,236,,,,,,
34,,,111782,0,0,0,0,0,1,-0.5,0.0,0,Robin,0.0,35,False,,,40,111782.jpg,0.0,Olsen,1.8,False,,a,2,7,0,19650,2541,32569,6482,0.0,0.0,Olsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,385,38,369,20,313,18,391,38,,,,,,
35,,,122775,0,0,0,0,0,3,-0.5,0.0,0,Morgan,0.0,36,False,,,45,122775.jpg,0.0,Sanson,0.3,False,,a,2,7,0,12605,1313,19019,3177,0.0,0.0,Sanson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,496,192,486,196,455,178,504,196,,,,,,
36,,,122806,0,0,-1,1,0,3,1.3,1.8,2,John,1.8,37,False,,,54,122806.jpg,1.8,McGinn,1.1,False,,a,2,7,7,18651,926,93889,15735,0.3,1.3,McGinn,342,0,0,0,7,0,0,0,1,0,0,0,52,46.4,52.4,35.0,13.4,171,67,87,64,133,71,126,73,1.0,,,,,
37,0.0,0.0,123354,0,0,-1,1,0,2,0.0,0.0,0,Kortney,0.0,38,False,Joined Watford on loan - Expected back 01 Jul,2022-08-05T11:30:05.731214Z,44,123354.jpg,0.0,Hause,0.0,False,,u,2,7,0,89,0,2261,142,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,444,181,432,181,384,159,452,183,,,,,,
38,75.0,,149484,0,0,-1,1,0,2,0.2,0.8,0,Tyrone,0.8,39,False,Illness - 75% chance of playing,2022-08-28T19:00:06.061717Z,44,149484.jpg,1.5,Mings,3.7,False,,d,2,7,3,41960,1389,301676,77674,0.2,0.7,Mings,180,0,0,0,4,0,0,0,0,0,0,0,28,30.4,1.7,0.0,3.2,218,90,280,95,386,160,283,101,,,,,,
39,,,178301,0,0,-1,1,1,4,4.5,5.0,2,Ollie,5.0,40,False,,,74,178301.jpg,5.0,Watkins,3.4,False,,a,2,7,20,190003,11391,254473,75288,0.7,2.7,Watkins,294,1,2,0,6,0,0,0,0,0,0,3,63,82.2,44.0,99.0,22.6,68,7,108,8,42,11,49,9,,,,,3.0,
40,,,184704,0,0,-1,1,0,3,-0.5,0.0,0,Marvelous,0.0,41,False,,,44,184704.jpg,0.0,Nakamba,0.2,False,,a,2,7,0,8100,2776,11693,1974,0.0,0.0,Nakamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,451,170,439,175,396,152,459,174,,,,,,
41,,,195546,0,0,0,0,0,3,2.5,3.0,1,Emiliano,3.0,42,False,,,60,195546.jpg,3.0,Buendía Stati,0.5,False,,a,2,7,12,39381,1339,48902,11201,0.5,2.0,Buendía,171,1,0,0,6,0,0,0,0,0,0,2,44,63.2,71.7,70.0,20.6,118,47,53,39,64,42,63,42,3.0,,,,,
42,100.0,100.0,199796,0,0,-2,2,0,2,0.7,1.2,1,Matty,1.2,43,False,,2022-08-13T15:30:06.456188Z,48,199796.jpg,1.2,Cash,7.8,False,,a,2,7,5,71904,7449,1013254,110583,0.3,1.0,Cash,360,0,0,0,7,0,0,0,1,0,0,0,46,57.8,47.8,19.0,12.5,133,54,98,21,189,52,138,38,,,,,,
43,100.0,100.0,199798,-1,1,-1,1,0,2,0.7,1.2,2,Ezri,1.2,44,False,,2022-07-05T15:30:04.118376Z,44,199798.jpg,1.2,Konsa Ngoyo,0.2,False,,a,2,7,5,6725,673,14172,2269,0.3,1.1,Konsa,271,0,0,0,6,0,0,0,0,0,0,0,48,57.2,2.4,2.0,6.2,137,56,268,92,270,92,240,85,,,,,,
44,,,215711,-1,1,-3,3,0,3,1.7,2.2,1,Leon,2.2,45,False,,,47,215711.jpg,2.2,Bailey,7.0,False,,a,2,7,9,176393,11616,1030736,186313,0.5,1.9,Bailey,179,0,1,0,5,0,0,0,0,0,0,0,32,36.8,69.1,36.0,14.3,206,84,57,42,127,68,106,63,,,3.0,,,
45,,,230046,0,0,-2,2,0,3,0.5,1.0,3,Douglas Luiz,1.0,46,False,,,48,230046.jpg,1.3,Soares de Paulo,0.3,False,,a,2,7,4,6213,1336,37991,3596,0.2,0.8,Douglas Luiz,90,0,0,1,0,0,0,0,1,0,0,0,16,11.0,30.3,8.0,4.9,280,122,145,88,232,121,268,119,5.0,,2.0,,,
46,,,232653,0,0,-2,2,0,3,0.7,1.2,1,Jacob,1.2,47,False,,,53,232653.jpg,1.2,Ramsey,1.0,False,,a,2,7,5,16380,1205,107330,17420,0.2,0.9,Ramsey,249,0,0,0,6,0,0,0,1,0,0,0,43,37.4,65.2,23.0,12.5,203,81,63,44,176,95,140,78,,,,,,
47,,,490094,0,0,0,0,0,3,-0.5,0.0,0,Tim,0.0,49,False,,,45,490094.jpg,0.0,Iroegbunam,0.0,False,,a,2,7,0,1136,185,1894,338,0.0,0.0,Iroegbunam,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,215,525,218,503,201,538,218,,,,,,
48,0.0,0.0,165659,-1,1,-2,2,0,2,0.0,0.0,0,Diego Carlos,0.8,50,False,Achilles injury - Unknown return date,2022-08-13T15:30:06.470124Z,48,165659.jpg,1.5,Santos Silva,0.3,False,,i,2,7,3,5478,57,83569,4997,0.2,0.6,Diego Carlos,180,0,0,0,3,0,0,0,0,0,0,0,17,23.0,2.8,32.0,5.8,243,99,262,90,145,38,251,92,,,,,,
49,,,193488,0,0,-2,2,0,3,-0.5,0.0,0,Anwar,0.0,51,False,,,48,193488.jpg,0.0,El Ghazi,0.1,False,,a,2,7,0,2313,269,8322,1018,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,546,225,538,226,519,211,549,227,,,,,,
50,0.0,0.0,221239,0,0,-1,1,0,4,0.0,0.0,0,Keinan,0.0,52,False,Joined Watford on loan - Expected back 01 Jul,2022-08-05T11:30:05.744996Z,54,221239.jpg,0.0,Davis,0.1,False,,u,2,7,0,586,0,11551,692,0.0,0.0,Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,587,56,585,57,579,57,588,57,,,,,,
51,,,226944,0,0,0,0,0,3,1.3,1.8,1,Boubacar,1.8,53,False,,,50,226944.jpg,1.8,Kamara,0.2,False,,a,2,7,7,7754,632,11241,2306,0.4,1.4,Kamara,351,0,0,0,7,0,0,0,1,0,0,0,49,61.4,30.6,5.0,9.7,122,51,143,87,251,129,183,94,,,,,,
52,75.0,,433979,0,0,0,0,0,4,0.0,0.5,1,Cameron,0.5,54,False,Hip injury - 75% chance of playing,2022-08-30T12:30:06.507496Z,45,433979.jpg,1.0,Archer,6.0,False,,d,2,7,2,112573,16071,226869,46827,0.1,0.4,Archer,9,0,0,0,0,0,0,0,0,0,0,0,6,0.2,1.5,2.0,0.3,355,42,290,38,276,44,345,44,,,,,,
53,0.0,0.0,481624,0,0,0,0,0,3,0.0,0.0,0,Jaden,0.0,55,False,Joined Cardiff City on loan - Expected back 01 Jul,2022-07-28T16:30:04.277181Z,45,481624.jpg,0.0,Philogene-Bidace,0.0,False,,u,2,7,0,0,0,269,27,0.0,0.0,Philogene-Bidace,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,531,213,522,216,500,199,535,216,,,,,,
54,,,203368,0,0,0,0,0,2,-0.5,0.0,0,Frédéric,0.0,56,False,,,40,203368.jpg,0.0,Guilbert,0.9,False,,a,2,7,0,27521,2898,34077,6464,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,395,147,379,143,323,115,401,147,,,,,,
55,100.0,100.0,155561,0,0,-1,1,0,2,-0.5,0.0,0,Ludwig,0.0,525,False,,2022-08-24T16:30:06.327738Z,44,155561.jpg,0.0,Augustinsson,0.1,False,,a,2,7,0,845,93,3532,456,0.0,0.0,Augustinsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,446,182,434,182,389,162,454,184,,,,,,
56,0.0,0.0,537043,0,0,0,0,0,2,0.0,0.0,0,Kaine,0.0,537,False,Season-long loan to Huddersfield Town,2022-08-12T14:24:07.750145Z,40,537043.jpg,0.0,Kesler Hayden,0.1,False,,u,2,7,0,1637,0,7553,632,0.0,0.0,Kesler Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,423,166,409,164,355,138,431,168,,,,,,
57,,,18892,0,0,0,0,0,2,-0.5,0.0,0,Ashley,0.0,538,False,,,45,18892.jpg,0.0,Young,0.1,False,,a,2,7,0,3169,588,7355,1197,0.0,0.0,Young,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,480,192,468,193,430,176,488,194,,,,,,
58,,,54469,0,0,-1,1,0,2,0.0,-1.0,-2,Adam,0.5,57,False,,,44,54469.jpg,0.5,Smith,0.1,False,,a,3,91,2,2913,186,8094,1593,0.1,0.5,Smith,315,0,0,1,12,0,0,0,4,0,0,0,30,47.4,36.6,24.0,10.9,169,71,125,30,166,42,160,47,,,,,,
59,0.0,0.0,56872,-1,1,-2,2,0,3,0.0,0.0,0,Junior,0.5,58,False,Groin Injury - Unknown return date,2022-08-23T09:00:05.626290Z,48,56872.jpg,1.0,Stanislas,0.0,False,,i,3,91,2,1055,35,7528,1151,0.1,0.4,Stanislas,28,0,0,0,1,0,0,0,0,0,0,0,5,0.0,0.3,1.0,0.0,541,221,330,165,283,142,544,223,5.0,,4.0,,2.0,
60,25.0,0.0,81012,0,0,-1,1,0,2,-0.1,0.0,0,Ryan,0.0,59,False,Calf injury - 25% chance of playing,2022-07-31T23:30:04.244175Z,44,81012.jpg,0.0,Fredericks,0.0,False,,d,3,91,0,215,13,2285,233,0.0,0.0,Fredericks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,436,176,424,176,373,152,444,178,,,,,,
61,0.0,0.0,111317,0,0,-1,1,0,3,0.0,0.0,0,David,0.0,60,False,Lack of match fitness - Expected back 01 Oct,2022-08-01T17:30:04.697617Z,54,111317.jpg,0.0,Brooks,0.0,False,,i,3,91,0,242,34,2884,219,0.0,0.0,Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,586,255,584,255,577,249,587,255,,,,,,
62,75.0,75.0,128309,-1,1,-2,2,0,3,-0.2,-1.0,0,Jamal,0.2,61,False,Illness - 75% chance of playing,2022-08-25T11:30:05.802904Z,53,128309.jpg,1.0,Lowe,0.0,False,,d,3,91,1,383,8,3223,508,0.0,0.2,Lowe,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,582,252,580,252,572,245,583,252,,,,,,
63,,,128340,0,0,0,0,0,4,2.5,1.5,2,Kieffer,3.0,62,False,,,55,128340.jpg,3.0,Moore,1.3,False,,a,3,91,12,144571,17991,81492,19829,0.5,2.2,Moore,359,1,0,1,16,0,0,0,0,0,0,0,41,51.6,31.1,62.0,14.4,155,13,140,18,69,19,104,16,,,,,,
64,,,133845,0,0,-1,1,0,3,-0.3,-1.3,1,Emiliano,0.2,63,False,,,49,133845.jpg,1.0,Marcondes,0.0,False,,a,3,91,1,274,68,1161,155,0.0,0.2,Marcondes,8,0,0,0,1,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,345,158,551,237,535,224,360,166,,,,,,
65,,,152551,0,0,0,0,1,3,3.0,2.0,2,Jefferson,3.5,64,False,,,50,152551.jpg,3.5,Lerma Solís,0.8,False,,a,3,91,14,96683,1850,82824,11261,0.7,2.8,Lerma,360,1,0,1,16,1,0,0,0,0,0,2,59,61.4,2.8,28.0,9.2,121,50,263,137,154,83,187,96,,,,,,
66,,,154131,0,0,-1,1,0,2,-0.7,-1.7,0,Jack,-0.2,65,False,,,44,154131.jpg,-1.0,Stacey,0.0,False,,a,3,91,-1,376,71,2402,337,0.0,-0.2,Stacey,90,0,0,0,4,0,0,0,1,0,0,0,5,6.6,4.6,0.0,1.1,302,113,241,78,388,161,315,113,,,,,,
67,100.0,75.0,154566,0,0,-2,2,0,4,0.3,-0.5,1,Dominic,0.8,66,False,,2022-08-14T00:00:05.733898Z,58,154566.jpg,1.5,Solanke,0.4,False,,a,3,91,3,9653,1354,79810,6301,0.1,0.5,Solanke,135,0,0,1,4,0,0,0,0,0,0,0,3,4.4,2.0,45.0,5.1,316,39,276,37,101,24,267,35,,,,,1.0,
68,,,155408,0,0,-1,1,0,3,1.0,0.0,2,Lewis,1.5,67,False,,,49,155408.jpg,1.5,Cook,0.1,False,,a,3,91,6,1258,364,2861,437,0.3,1.2,Cook,202,0,0,0,11,0,0,0,0,0,0,0,24,26.8,3.0,0.0,3.1,229,95,259,135,537,226,286,127,,,,,,
69,75.0,,156687,0,0,0,0,0,3,0.8,0.0,1,Ben,1.5,68,False,Knock - 75% chance of playing,2022-08-27T20:00:06.364295Z,45,156687.jpg,1.5,Pearson,0.4,False,,d,3,91,6,49894,568,37557,9629,0.3,1.3,Pearson,210,0,0,1,7,0,0,0,1,0,0,0,18,13.8,2.5,7.0,2.4,272,117,267,139,240,124,292,129,,,,,,
70,,,158499,0,0,-1,1,0,3,0.7,-0.3,1,Ryan,1.2,69,False,,,54,158499.jpg,1.2,Christie,0.1,False,,a,3,91,5,710,92,3484,561,0.2,0.9,Christie,136,0,0,0,8,0,0,0,0,0,0,0,21,13.8,13.4,10.0,3.7,273,118,210,117,227,119,278,125,2.0,,3.0,,,
